2298	The Greek historians: Herodotus, Thucydides, Polybius, Plutarch; introduction and selected readings.	Austin, Norman,		Van Nostrand-Reinhold Co.		283	DE8 .A9
2252	The Mongols	Phillips, E. D.1910-(Eustace Dockray),		F.A. Praeger		208	DS19 .P5 1969
2360	Gandhi and modern India /	Moon, Penderel,1905-1987,		Norton,		312	DS481.G3 M63 1969
10882	Gandhi's truth : on the origins of militant nonviolence /	Erikson, Erik H.1902-1994,(Erik Homburger),		Norton,		476	DS481.G3 E7
2236	Mission to Hanoi : a chronicle of double-dealing in high places, a special report from the Center for the Study of Democratic Institutions /	Ashmore, Harry S.,		Putnam,		369	DS557.A692 A7 1968b
4805	Japan unmasked.	Kawasaki, Ichirō.		C.E. Tuttle Co.		231	DS821 .K3128
2313	America through women's eyes.	Beard, Mary Ritter,1876-1958,		Greenwood Press		558	E161 .B42 1969
2853	In review: pictures I've kept : a concise pictorial "autobiography" /	Eisenhower, Dwight D.1890-1969,(Dwight David),		Doubleday,		237	E836 .A33 1969
7201	American foreign policy : three essays /	Kissinger, Henry,1923-		Norton,		143	E840 .K5
3133	Vanishing peoples of the earth /			National Geographic Society,		207	GN340 .V3
10823	Medieval and Tudor costume	Cunnington, Phillis,1887-1974.		Plays, Inc.		77	GT732 .C85 1969
2558	High school runners and their training programs,	McNeff, J. D.		Tafnews Press		128	GV1061 .M25
1769	The encyclopedia of sports /	Menke, Frank G.1885-1954,(Frank Grant),		A.S. Barnes,		1,100	GV567 .M46
7639	Physical activities for the mentally retarded : ideas for instruction.	Joint Committee of the Lifetime Sports Education Project and the Project on Recreation and Fitness for the Mentally Retarded.		Project on Recreation and Fitness for the Mentally Retarded,		137	GV445 .J6
5428	The developing nations : poverty and progress /			H.W. Wilson Co.,		205	HC59.7 .I8
2761	The permanence of change : the story of Bliss &amp; Laughlin Industries /	Robbins, Frederic J.		Newcomen Society in North America,		28	T1 .N45 #842
11174	The ideas that guide us; the story of A.B. Chance Company, Centralia, Missouri	Chance, F. Gano,1905-		Newcomen Society in North America,		20	T1.N45 #848
11251	Tandy Corporation; start on a shoe string	West, James L.,1903-		Newcomen Society in North America,		24	T1.N45 #847
10228	The Business history review; a unique link between the business and scholarly communities	Baughman, James P.1936-(James Porter),		Newcomen Society in North America,		28	T1.N45 #844
6755	Marketing classics : a selection of influential articles /			Allyn and Bacon,		481	HF5415 .E67 1977
2247	A Maine heritage : a brief history of Union Mutual Life Insurance Company, 1848-1968 /	Lane, Carleton G.,1904-		Newcomen Society in North America,		28	T1.N45 #837
8922	Sexual pleasure in marriage,	Rainer, Jerome.		Simon and Schuster		187	HQ31 .R19 1969
8768	Between parent and teenager /	Ginott, Haim G.,		Macmillan,		256	HQ796 .G518 1969
5585	The economy of cities /	Jacobs, Jane,1916-2006.		Random House,		268	HT321 .J32
10667	Civil disobedience : theory and practice /	Bedau, Hugo Adam,		Pegasus,		282	JC328 .B38
3844	The legislative process in the U.S. Senate /			Rand McNally		309	JK1161 .P65
614	Fair trial and free press	Reardon, Paul C.,1909-		American Enterprise Institute for Public Policy Research		181	KF9223.5.A75 R4
10081	A decade of experience under the Iowa water permit system	Hines, N. William(Norman William)		Agricultural Law Center, College of Law, University of Iowa,		99	HD1694.I6 H5
4760	Thinking is child's play.	Sharp, Evelyn.		Dutton,		157	LB1137 .S46
1637	Episcopal colleges; a case for church relationship in education	Hines, John E.1910-1997.(John Elbridge),		Newcomen Society in North America,		24	T1.N45 #823
566	Hollins: an act of faith for 125 years	Logan, John A.,Jr.,1923-2011.		Newcomen Society in North America,		28	T1.N45 #838
1907	The Church Farm School; a dream continued	Shreiner, Charles Wesley.		Newcomen Society in North America,		24	T1.N45 #822
1817	Painting, sculpture, and architecture of ancient Egypt.	Westendorf, Wolfhart.		H.N. Abrams		260	N5350 .W4613
1510	The baroque : principles, styles, modes, themes /	Bazin, Germain,		New York Graphic Society,		368	N6415.B3 B313 1968
